iter	Passed	Remaining
0	296	296297
1	460	229908
2	682	226968
3	840	209216
4	985	196044
5	1119	185417
6	1251	177532
7	1382	171407
8	1528	168310
9	1681	166445
10	1856	166950
11	1994	164223
12	2127	161527
13	2302	162159
14	2489	163468
15	2640	162381
16	2807	162315
17	3011	164301
18	3329	171901
19	3578	175342
20	3731	173972
21	3915	174044
22	4060	172473
23	4211	171251
24	4352	169738
25	4508	168908
26	4679	168648
27	4858	168672
28	5031	168470
29	5251	169794
30	5385	168337
31	5521	167031
32	5677	166356
33	5812	165130
34	5945	163918
35	6072	162619
36	6223	161975
37	6362	161075
38	6548	161368
39	6700	160823
40	6840	159999
41	6973	159063
42	7129	158671
43	7274	158055
44	7420	157486
45	7555	156693
46	7706	156256
47	7831	155321
48	7955	154409
49	8082	153571
50	8228	153122
51	8360	152422
52	8509	152041
53	8669	151869
54	8817	151501
55	8966	151156
56	9117	150834
57	9274	150626
58	9398	149899
59	9541	149481
60	9676	148948
61	9812	148460
62	9942	147870
63	10074	147337
64	10226	147100
65	10365	146687
66	10512	146388
67	10642	145863
68	10808	145837
69	10943	145397
70	11076	144929
71	11209	144474
72	11333	143915
73	11483	143702
74	11606	143150
75	11747	142823
76	11894	142581
77	12086	142872
78	12229	142570
79	12399	142592
80	12656	143593
81	12992	145457
82	13179	145614
83	13331	145377
84	13464	144939
85	13597	144517
86	13732	144117
87	13866	143706
88	14002	143328
89	14140	142980
90	14289	142738
91	14426	142385
92	14576	142155
93	14716	141843
94	14862	141580
95	15015	141392
96	15143	140974
97	15283	140668
98	15434	140470
99	15558	140023
100	15691	139669
101	15826	139335
102	15954	138941
103	16082	138556
104	16215	138221
105	16358	137963
106	16512	137812
107	16639	137431
108	16773	137108
109	16917	136876
110	17064	136673
111	17219	136528
112	17372	136365
113	17591	136719
114	17785	136871
115	17950	136792
116	18160	137054
117	18361	137241
118	18559	137400
119	18782	137740
120	18957	137716
121	19117	137585
122	19282	137487
123	19437	137318
124	19585	137099
125	19722	136808
126	19860	136518
127	19989	136179
128	20119	135844
129	20266	135629
130	20395	135293
131	20553	135158
132	20700	134945
133	20839	134678
134	20986	134466
135	21127	134220
136	21396	134784
137	21591	134866
138	21729	134598
139	21860	134283
140	21982	133923
141	22116	133634
142	22260	133405
143	22405	133188
144	22540	132909
145	22678	132654
146	22828	132467
147	22967	132215
148	23102	131949
149	23239	131687
150	23375	131429
151	23514	131188
152	23650	130927
153	23787	130677
154	23916	130381
155	24051	130127
156	24185	129862
157	24336	129693
158	24466	129409
159	24607	129188
160	24750	128978
161	24880	128703
162	25014	128446
163	25164	128276
164	25305	128063
165	25454	127888
166	25588	127635
167	25723	127393
168	25867	127192
169	26007	126980
170	26133	126695
171	26283	126526
172	26454	126459
173	26605	126301
174	26741	126067
175	26884	125867
176	27045	125755
177	27197	125598
178	27349	125441
179	27490	125235
180	27631	125030
181	27754	124740
182	27886	124500
183	28020	124265
184	28151	124018
185	28295	123828
186	28437	123633
187	28567	123385
188	28710	123196
189	28867	123065
190	29021	122924
191	29190	122842
192	29324	122614
193	29461	122402
194	29622	122285
195	29801	122246
196	29946	122068
197	30093	121893
198	30391	122329
199	30679	122717
200	30862	122682
201	31005	122488
202	31148	122292
203	31326	122233
204	31520	122236
205	31639	121951
206	31751	121638
207	31858	121309
208	31969	120995
209	32078	120676
210	32203	120418
211	32313	120110
212	32427	119812
213	32540	119516
214	32655	119229
215	32770	118945
216	32885	118661
217	32996	118363
218	33110	118077
219	33223	117792
220	33328	117480
221	33435	117175
222	33551	116902
223	33677	116666
224	33789	116384
225	33895	116083
226	34001	115785
227	34108	115490
228	34226	115233
229	34340	114965
230	34455	114703
231	34566	114427
232	34683	114173
233	34797	113909
234	34907	113634
235	35018	113365
236	35128	113091
237	35239	112826
238	35352	112565
239	35459	112288
240	35569	112021
241	35676	111748
242	35782	111470
243	35888	111196
244	35993	110919
245	36099	110647
246	36212	110397
247	36326	110151
248	36446	109924
249	36562	109686
250	36680	109457
251	36799	109229
252	36916	108998
253	37025	108744
254	37140	108508
255	37254	108269
256	37359	108009
257	37472	107769
258	37584	107529
259	37693	107280
260	37800	107029
261	37934	106853
262	38065	106669
263	38181	106446
264	38294	106213
265	38416	106006
266	38530	105779
267	38641	105542
268	38759	105329
269	38868	105089
270	38981	104862
271	39095	104639
272	39207	104410
273	39317	104175
274	39425	103938
275	39533	103702
276	39641	103467
277	39754	103246
278	39862	103014
279	39976	102795
280	40082	102558
281	40194	102338
282	40309	102126
283	40423	101913
284	40536	101695
285	40647	101477
286	40765	101274
287	40874	101051
288	40984	100829
289	41092	100606
290	41208	100401
291	41315	100174
292	41427	99962
293	41543	99761
294	41649	99534
295	41759	99320
296	41865	99095
297	41973	98877
298	42079	98655
299	42189	98443
300	42299	98230
301	42407	98015
302	42523	97817
303	42634	97609
304	42749	97413
305	42860	97206
306	42970	96997
307	43089	96811
308	43201	96609
309	43316	96413
310	43427	96211
311	43538	96008
312	43646	95798
313	43756	95594
314	43865	95391
315	43980	95197
316	44092	94999
317	44207	94809
318	44319	94612
319	44427	94409
320	44549	94233
321	44664	94046
322	44781	93861
323	44893	93666
324	45007	93476
325	45118	93281
326	45235	93100
327	45344	92901
328	45451	92699
329	45562	92506
330	45674	92315
331	45782	92117
332	45890	91918
333	45996	91718
334	46126	91564
335	46305	91508
336	46424	91333
337	46538	91149
338	46653	90967
339	46769	90787
340	46880	90599
341	46994	90416
342	47104	90226
343	47218	90044
344	47328	89855
345	47436	89663
346	47546	89475
347	47657	89289
348	47773	89112
349	47879	88919
350	47989	88733
351	48098	88545
352	48209	88362
353	48334	88203
354	48447	88024
355	48561	87846
356	48679	87678
357	48798	87509
358	48911	87331
359	49021	87149
360	49134	86971
361	49253	86805
362	49365	86627
363	49471	86439
364	49583	86261
365	49693	86081
366	49801	85897
367	49907	85711
368	50016	85529
369	50123	85345
370	50246	85188
371	50363	85021
372	50472	84842
373	50583	84666
374	50701	84502
375	50817	84336
376	50926	84157
377	51040	83986
378	51147	83806
379	51257	83630
380	51365	83452
381	51474	83275
382	51585	83102
383	51693	82925
384	51804	82752
385	51911	82574
386	52020	82398
387	52127	82221
388	52241	82055
389	52362	81900
390	52473	81729
391	52589	81567
392	52706	81407
393	52823	81245
394	52932	81074
395	53047	80910
396	53158	80742
397	53272	80578
398	53380	80404
399	53491	80237
400	53602	80069
401	53711	79899
402	53822	79731
403	53935	79567
404	54043	79397
405	54153	79229
406	54269	79070
407	54382	78907
408	54533	78799
409	54674	78677
410	54785	78513
411	54895	78346
412	55008	78184
413	55122	78023
414	55236	77862
415	55342	77692
416	55454	77529
417	55564	77365
418	55675	77201
419	55785	77036
420	55893	76869
421	56000	76701
422	56107	76534
423	56221	76376
424	56329	76210
425	56437	76044
426	56551	75887
427	56663	75727
428	56776	75570
429	56885	75405
430	57000	75251
431	57117	75098
432	57232	74944
433	57338	74777
434	57445	74613
435	57554	74451
436	57663	74288
437	57772	74127
438	57878	73962
439	57986	73800
440	58096	73641
441	58214	73492
442	58328	73338
443	58439	73180
444	58557	73032
445	58673	72881
446	58792	72734
447	58908	72583
448	59017	72424
449	59140	72282
450	59255	72131
451	59366	71975
452	59475	71817
453	59585	71659
454	59691	71499
455	59803	71344
456	59910	71185
457	60019	71027
458	60136	70879
459	60250	70728
460	60358	70570
461	60476	70424
462	60591	70276
463	60706	70126
464	60826	69983
465	60936	69828
466	61048	69676
467	61161	69525
468	61275	69375
469	61380	69216
470	61489	69061
471	61599	68907
472	61717	68762
473	61828	68610
474	61935	68455
475	62042	68299
476	62151	68144
477	62282	68015
478	62396	67867
479	62512	67722
480	62623	67571
481	62776	67465
482	62912	67341
483	63022	67188
484	63134	67039
485	63250	66894
486	63356	66738
487	63464	66585
488	63579	66439
489	63688	66287
490	63792	66131
491	63898	65976
492	64003	65821
493	64108	65666
494	64225	65523
495	64335	65373
496	64444	65222
497	64561	65080
498	64682	64941
499	64802	64802
500	64914	64655
501	65024	64506
502	65138	64361
503	65248	64212
504	65355	64061
505	65462	63910
506	65570	63759
507	65680	63611
508	65790	63463
509	65898	63314
510	66007	63165
511	66113	63014
512	66221	62865
513	66336	62722
514	66449	62578
515	66562	62434
516	66674	62289
517	66785	62144
518	66896	61998
519	67011	61856
520	67120	61709
521	67232	61565
522	67353	61429
523	67465	61285
524	67580	61144
525	67703	61010
526	67810	60862
527	67920	60717
528	68029	60570
529	68136	60422
530	68251	60282
531	68362	60138
532	68476	59997
533	68590	59856
534	68706	59716
535	68819	59574
536	68938	59438
537	69050	59296
538	69162	59153
539	69270	59007
540	69376	58860
541	69489	58720
542	69598	58575
543	69708	58432
544	69815	58285
545	69920	58139
546	70025	57992
547	70136	57849
548	70251	57711
549	70361	57568
550	70472	57426
551	70585	57287
552	70699	57147
553	70811	57006
554	70923	56866
555	71091	56771
556	71217	56641
557	71324	56497
558	71433	56354
559	71541	56211
560	71650	56069
561	71761	55927
562	71867	55783
563	71975	55640
564	72083	55498
565	72193	55357
566	72302	55214
567	72415	55076
568	72532	54940
569	72656	54810
570	72768	54672
571	72884	54535
572	72993	54395
573	73108	54258
574	73223	54121
575	73332	53980
576	73441	53840
577	73563	53708
578	73678	53572
579	73785	53430
580	73892	53289
581	73998	53146
582	74104	53004
583	74226	52873
584	74336	52734
585	74450	52598
586	74566	52463
587	74685	52330
588	74796	52192
589	74911	52057
590	75021	51918
591	75130	51778
592	75241	51641
593	75349	51501
594	75455	51360
595	75563	51220
596	75675	51084
597	75782	50944
598	75894	50807
599	76003	50669
600	76110	50529
601	76224	50393
602	76339	50259
603	76450	50123
604	76567	49990
605	76685	49858
606	76796	49721
607	76914	49589
608	77032	49457
609	77143	49321
610	77254	49184
611	77362	49047
612	77474	48911
613	77585	48775
614	77697	48640
615	77804	48501
616	77909	48361
617	78014	48222
618	78124	48086
619	78241	47954
620	78357	47821
621	78470	47687
622	78589	47557
623	78702	47423
624	78816	47289
625	78933	47158
626	79045	47023
627	79163	46893
628	79320	46785
629	79439	46654
630	79551	46520
631	79662	46385
632	79772	46250
633	79878	46112
634	79987	45977
635	80094	45840
636	80210	45708
637	80320	45573
638	80434	45440
639	80555	45312
640	80671	45181
641	80783	45047
642	80899	44916
643	81007	44780
644	81116	44645
645	81229	44512
646	81335	44376
647	81443	44240
648	81549	44104
649	81664	43973
650	81776	43840
651	81882	43704
652	81992	43570
653	82104	43437
654	82217	43305
655	82328	43172
656	82439	43039
657	82552	42907
658	82671	42778
659	82784	42646
660	82895	42513
661	83011	42383
662	83123	42251
663	83239	42121
664	83347	41986
665	83452	41851
666	83566	41720
667	83680	41589
668	83789	41456
669	83897	41322
670	84002	41187
671	84115	41056
672	84229	40925
673	84340	40793
674	84453	40662
675	84573	40535
676	84726	40423
677	84863	40304
678	85038	40202
679	85183	40086
680	85315	39964
681	85446	39841
682	85584	39722
683	85724	39603
684	85885	39494
685	86001	39364
686	86108	39231
687	86216	39098
688	86327	38966
689	86446	38838
690	86560	38708
691	86677	38579
692	86791	38448
693	86903	38317
694	87014	38186
695	87133	38058
696	87245	37927
697	87355	37795
698	87502	37679
699	87655	37566
700	87785	37443
701	87903	37315
702	88016	37184
703	88124	37052
704	88320	36956
705	88482	36846
706	88645	36737
707	88795	36622
708	88943	36505
709	89057	36375
710	89189	36252
711	89302	36122
712	89409	35989
713	89519	35857
714	89630	35726
715	89759	35602
716	89876	35474
717	89985	35342
718	90097	35211
719	90219	35085
720	90452	35001
721	90647	34903
722	90831	34800
723	91021	34698
724	91196	34591
725	91357	34479
726	91510	34363
727	91665	34248
728	91821	34134
729	92040	34042
730	92207	33931
731	92379	33821
732	92543	33709
733	92706	33596
734	92867	33482
735	93073	33385
736	93252	33277
737	93406	33160
738	93551	33040
739	93708	32924
740	93860	32806
741	94013	32689
742	94173	32574
743	94336	32460
744	94488	32341
745	94652	32227
746	94815	32112
747	94981	31998
748	95142	31883
749	95296	31765
750	95452	31648
751	95606	31529
752	95787	31420
753	95968	31310
754	96149	31200
755	96312	31084
756	96476	30969
757	96652	30857
758	96818	30742
759	96979	30625
760	97133	30505
761	97293	30388
762	97447	30268
763	97601	30149
764	97752	30028
765	97903	29907
766	98049	29785
767	98211	29668
768	98373	29550
769	98534	29432
770	98702	29316
771	98864	29198
772	99024	29079
773	99179	28959
774	99336	28839
775	99491	28719
776	99648	28599
777	99800	28477
778	99956	28357
779	100102	28234
780	100258	28113
781	100432	27997
782	100589	27877
783	100750	27757
784	100911	27638
785	101092	27523
786	101244	27401
787	101394	27278
788	101543	27155
789	101710	27036
790	101865	26915
791	102018	26792
792	102172	26670
793	102336	26550
794	102498	26430
795	102653	26308
796	102855	26197
797	103048	26085
798	103243	25972
799	103403	25850
800	103558	25727
801	103710	25604
802	103976	25508
803	104139	25387
804	104362	25280
805	104665	25192
806	104805	25065
807	104925	24932
808	105064	24805
809	105187	24673
810	105302	24540
811	105413	24405
812	105532	24273
813	105645	24140
814	105752	24005
815	105860	23870
816	105968	23735
817	106081	23602
818	106192	23468
819	106302	23334
820	106418	23202
821	106533	23069
822	106650	22936
823	106766	22804
824	106873	22670
825	106982	22536
826	107110	22406
827	107220	22272
828	107333	22139
829	107446	22007
830	107559	21874
831	107668	21740
832	107777	21607
833	107887	21474
834	107993	21340
835	108107	21207
836	108214	21074
837	108329	20941
838	108437	20808
839	108556	20677
840	108674	20546
841	108789	20414
842	108900	20281
843	109015	20149
844	109129	20017
845	109238	19884
846	109344	19751
847	109450	19618
848	109562	19486
849	109669	19353
850	109776	19220
851	109887	19088
852	109995	18955
853	110106	18823
854	110221	18692
855	110335	18561
856	110453	18430
857	110574	18300
858	110684	18168
859	110799	18037
860	110911	17905
861	111020	17773
862	111138	17643
863	111249	17511
864	111357	17379
865	111467	17247
866	111581	17116
867	111689	16984
868	111802	16853
869	111909	16722
870	112017	16590
871	112128	16459
872	112237	16327
873	112348	16196
874	112463	16066
875	112612	15940
876	112764	15815
877	112876	15684
878	112989	15553
879	113106	15423
880	113216	15292
881	113328	15161
882	113442	15031
883	113555	14900
884	113664	14769
885	113769	14638
886	113878	14507
887	113986	14376
888	114098	14246
889	114204	14115
890	114314	13984
891	114431	13854
